layer,meteo__open_meteo_10_0853_105_8678__agent_name,meteo__open_meteo_10_0853_105_8678__context__hour_of_day,meteo__open_meteo_10_0853_105_8678__context__is_day,meteo__open_meteo_10_0853_105_8678__context__provider,meteo__open_meteo_10_0853_105_8678__context__timezone,meteo__open_meteo_10_0853_105_8678__context__weather_code,meteo__open_meteo_10_0853_105_8678__flags__heat_stress,meteo__open_meteo_10_0853_105_8678__flags__humidity_alert,meteo__open_meteo_10_0853_105_8678__flags__rain_event,meteo__open_meteo_10_0853_105_8678__flags__sensor_fault_possible,meteo__open_meteo_10_0853_105_8678__handoff__ready,meteo__open_meteo_10_0853_105_8678__handoff__reason,meteo__open_meteo_10_0853_105_8678__health__confidence,meteo__open_meteo_10_0853_105_8678__health__severity,meteo__open_meteo_10_0853_105_8678__health__status,meteo__open_meteo_10_0853_105_8678__perception__cloud_cover_high_pct,meteo__open_meteo_10_0853_105_8678__perception__cloud_cover_pct,meteo__open_meteo_10_0853_105_8678__perception__dew_point_c,meteo__open_meteo_10_0853_105_8678__perception__et0_mm,meteo__open_meteo_10_0853_105_8678__perception__humidity_air_pct,meteo__open_meteo_10_0853_105_8678__perception__is_day,meteo__open_meteo_10_0853_105_8678__perception__precipitation_mm,meteo__open_meteo_10_0853_105_8678__perception__rain_mm,meteo__open_meteo_10_0853_105_8678__perception__sensor_quality,meteo__open_meteo_10_0853_105_8678__perception__soil_temp_0_7cm_c,meteo__open_meteo_10_0853_105_8678__perception__temp_air_c,meteo__open_meteo_10_0853_105_8678__perception__weather_code,meteo__open_meteo_10_0853_105_8678__sensor_type,meteo__open_meteo_10_0853_105_8678__signals__heat_stress,meteo__open_meteo_10_0853_105_8678__signals__humidity_alert,meteo__open_meteo_10_0853_105_8678__signals__humidity_trend_24h,meteo__open_meteo_10_0853_105_8678__signals__precipitation_delta_24h,meteo__open_meteo_10_0853_105_8678__signals__rain_event,meteo__open_meteo_10_0853_105_8678__signals__sensor_confidence,meteo__open_meteo_10_0853_105_8678__source_event_key,meteo__open_meteo_10_0853_105_8678__source_path,meteo__open_meteo_10_0853_105_8678__summary,npk__npk_7in1_1__agent_name,npk__npk_7in1_1__context__battery_v,npk__npk_7in1_1__context__hour_of_day,npk__npk_7in1_1__context__sample_interval_ms,npk__npk_7in1_1__context__soil_moisture_trend_24h,npk__npk_7in1_1__context__transport,npk__npk_7in1_1__flags__dry_soil_reliability_risk,npk__npk_7in1_1__flags__nutrient_imbalance,npk__npk_7in1_1__flags__ph_out_of_band,npk__npk_7in1_1__flags__possible_leaching,npk__npk_7in1_1__flags__salinity_risk_high,npk__npk_7in1_1__flags__sensor_fault_possible,npk__npk_7in1_1__handoff__ready,npk__npk_7in1_1__handoff__reason,npk__npk_7in1_1__health__confidence,npk__npk_7in1_1__health__severity,npk__npk_7in1_1__health__status,npk__npk_7in1_1__perception__k_ppm,npk__npk_7in1_1__perception__n_ppm,npk__npk_7in1_1__perception__p_ppm,npk__npk_7in1_1__perception__sensor_quality,npk__npk_7in1_1__perception__soil_ec_us_cm,npk__npk_7in1_1__perception__soil_humidity_pct,npk__npk_7in1_1__perception__soil_ph,npk__npk_7in1_1__perception__soil_temp_c,npk__npk_7in1_1__sensor_type,npk__npk_7in1_1__signals__dry_soil_reliability_risk,npk__npk_7in1_1__signals__nutrient_balance_index,npk__npk_7in1_1__signals__ph_out_of_band,npk__npk_7in1_1__signals__ph_shift_24h,npk__npk_7in1_1__signals__possible_leaching,npk__npk_7in1_1__signals__salinity_risk,npk__npk_7in1_1__signals__sensor_confidence,npk__npk_7in1_1__signals__soil_moisture_trend,npk__npk_7in1_1__source_event_key,npk__npk_7in1_1__source_path,npk__npk_7in1_1__summary,observed_at_hour_local,schema_version,sht30__sht30_1__agent_name,sht30__sht30_1__context__battery_v,sht30__sht30_1__context__hour_of_day,sht30__sht30_1__context__macro_humidity_trend_24h,sht30__sht30_1__context__sample_interval_ms,sht30__sht30_1__context__transport,sht30__sht30_1__flags__condensation_risk,sht30__sht30_1__flags__heat_stress,sht30__sht30_1__flags__humidity_spike,sht30__sht30_1__flags__sensor_fault_possible,sht30__sht30_1__handoff__ready,sht30__sht30_1__handoff__reason,sht30__sht30_1__health__confidence,sht30__sht30_1__health__severity,sht30__sht30_1__health__status,sht30__sht30_1__perception__humidity_air_pct,sht30__sht30_1__perception__sensor_quality,sht30__sht30_1__perception__temp_air_c,sht30__sht30_1__sensor_type,sht30__sht30_1__signals__air_stress_score,sht30__sht30_1__signals__condensation_risk,sht30__sht30_1__signals__macro_humidity_trend,sht30__sht30_1__signals__sensor_confidence,sht30__sht30_1__signals__temp_trend_8h,sht30__sht30_1__signals__weather_driven_likelihood,sht30__sht30_1__source_event_key,sht30__sht30_1__source_path,sht30__sht30_1__summary,source_count,sources_present,ts_hour_bucket
layer2_5,meteo_agent,00,0.0,open-meteo,Asia/Ho_Chi_Minh,1.0,False,False,False,False,True,Weather stream is stable for downstream fusion.,0.92,info,ok,0.0,30.0,22.187,0.0322,81.0299,0.0,0.0,0.0,0.92,27.587,25.687,1.0,open_meteo_hourly,False,False,stable,0.0,False,0.92,1773594000,weather/open_meteo_10.0853_105.8678/2026-03-16/1773594000,Weather stream is stable for downstream fusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16T00:00:00+07:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,meteo/open_meteo_10.0853_105.8678,1773594000
layer2_5,meteo_agent,01,0.0,open-meteo,Asia/Ho_Chi_Minh,1.0,False,False,False,False,True,Weather stream is stable for downstream fusion.,0.92,info,ok,0.0,31.0,21.937,0.0289,82.2115,0.0,0.0,0.0,0.92,26.987,25.187,1.0,open_meteo_hourly,False,False,rising,0.0,False,0.92,1773597600,weather/open_meteo_10.0853_105.8678/2026-03-16/1773597600,Weather stream is stable for downstream fusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16T01:00:00+07:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,meteo/open_meteo_10.0853_105.8678,1773597600
layer2_5,meteo_agent,02,0.0,open-meteo,Asia/Ho_Chi_Minh,1.0,False,False,False,False,True,Weather stream is stable for downstream fusion.,0.92,info,ok,0.0,23.0,21.937,0.029,82.2115,0.0,0.0,0.0,0.92,26.937,25.187,1.0,open_meteo_hourly,False,False,rising,0.0,False,0.92,1773601200,weather/open_meteo_10.0853_105.8678/2026-03-16/1773601200,Weather stream is stable for downstream fusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16T02:00:00+07:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,meteo/open_meteo_10.0853_105.8678,1773601200
layer2_5,meteo_agent,03,0.0,open-meteo,Asia/Ho_Chi_Minh,0.0,False,False,False,False,True,Weather stream is stable for downstream fusion.,0.92,info,ok,0.0,16.0,21.787,0.0277,82.6849,0.0,0.0,0.0,0.92,26.737,24.937,0.0,open_meteo_hourly,False,False,rising,0.0,False,0.92,1773604800,weather/open_meteo_10.0853_105.8678/2026-03-16/1773604800,Weather stream is stable for downstream fusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16T03:00:00+07:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,meteo/open_meteo_10.0853_105.8678,1773604800
layer2_5,meteo_agent,04,0.0,open-meteo,Asia/Ho_Chi_Minh,0.0,False,False,False,False,True,Weather stream is stable for downstream fusion.,0.92,info,ok,0.0,11.0,21.587,0.0313,81.1947,0.0,0.0,0.0,0.92,26.737,25.037,0.0,open_meteo_hourly,False,False,stable,0.0,False,0.92,1773608400,weather/open_meteo_10.0853_105.8678/2026-03-16/1773608400,Weather stream is stable for downstream fusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16T04:00:00+07:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,meteo/open_meteo_10.0853_105.8678,1773608400
layer2_5,meteo_agent,05,0.0,open-meteo,Asia/Ho_Chi_Minh,0.0,False,False,False,False,True,Weather stream is stable for downstream fusion.,0.92,info,ok,0.0,14.0,21.387,0.0239,83.383,0.0,0.0,0.0,0.92,26.137,24.387,0.0,open_meteo_hourly,False,False,rising,0.0,False,0.92,1773612000,weather/open_meteo_10.0853_105.8678/2026-03-16/1773612000,Weather stream is stable for downstream fusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16T05:00:00+07:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,meteo/open_meteo_10.0853_105.8678,1773612000
layer2_5,meteo_agent,06,0.0,open-meteo,Asia/Ho_Chi_Minh,0.0,False,False,False,False,True,Weather stream is stable for downstream fusion.,0.92,info,ok,0.0,3.0,21.137,0.0275,81.8689,0.0,0.0,0.0,0.92,26.087,24.437,0.0,open_meteo_hourly,False,False,rising,0.0,False,0.92,1773615600,weather/open_meteo_10.0853_105.8678/2026-03-16/1773615600,Weather stream is stable for downstream fusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16T06:00:00+07:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,meteo/open_meteo_10.0853_105.8678,1773615600
layer2_5,meteo_agent,07,1.0,open-meteo,Asia/Ho_Chi_Minh,0.0,False,False,False,False,True,Weather stream is stable for downstream fusion.,0.92,info,ok,0.0,8.0,22.237,0.0787,75.7166,1.0,0.0,0.0,0.92,27.937,26.887,0.0,open_meteo_hourly,False,False,falling,0.0,False,0.92,1773619200,weather/open_meteo_10.0853_105.8678/2026-03-16/1773619200,Weather stream is stable for downstream fusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16T07:00:00+07:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,meteo/open_meteo_10.0853_105.8678,1773619200
layer2_5,meteo_agent,08,1.0,open-meteo,Asia/Ho_Chi_Minh,0.0,False,False,False,False,True,Weather stream is stable for downstream fusion.,0.92,info,ok,0.0,5.0,22.337,0.215,72.9017,1.0,0.0,0.0,0.92,27.937,27.637,0.0,open_meteo_hourly,False,False,falling,0.0,False,0.92,1773622800,weather/open_meteo_10.0853_105.8678/2026-03-16/1773622800,Weather stream is stable for downstream fusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16T08:00:00+07:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,meteo/open_meteo_10.0853_105.8678,1773622800
layer2_5,meteo_agent,09,1.0,open-meteo,Asia/Ho_Chi_Minh,0.0,False,False,False,False,True,Weather stream is stable for downstream fusion.,0.92,info,ok,0.0,8.0,22.237,0.3439,70.3757,1.0,0.0,0.0,0.92,28.087,28.137,0.0,open_meteo_hourly,False,False,falling,0.0,False,0.92,1773626400,weather/open_meteo_10.0853_105.8678/2026-03-16/1773626400,Weather stream is stable for downstream fusion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16T09:00:00+07:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,meteo/open_meteo_10.0853_105.8678,1773626400
